vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period,number plate,vehicle type
B533APG,30619122,GAB001_R_Gaborone Center_Block 8 Route 1,Bob,Gaborone,12/11/2020,"25.902039, -24.658899","25.901953, -24.658844",0.01,16:58:43,0:06,80,0,5,8,16,0,Gaborone,GAB001,R,Gaborone Center,Block 8 Route 1,17:00:00,6,0.1,16,peak,B 533 APG,Mini-bus
B858BGE,30619142,GAB001_F_Gaborone Center_Block 8 Route 1,Bob,Gaborone,12/11/2020,"25.901894, -24.658850","25.901894, -24.658850",0,17:03:37,0:01,75,0,5,4,15,0,Gaborone,GAB001,F,Gaborone Center,Block 8 Route 1,17:00:00,1,0,17,peak,B 858 BGE,Mini-bus
B858BGE,30619154,GAB001_F_Gaborone Center_Block 8 Route 1,Bob,Gaborone,12/11/2020,"25.901909, -24.658838","25.901909, -24.658838",0,17:08:40,0:10,100,0,5,11,20,0,Gaborone,GAB001,F,Gaborone Center,Block 8 Route 1,17:15:00,10,0,17,peak,B 858 BGE,Mini-bus
B546BIW,30619326,GAB005_F_Gaborone Center_Mogoditshane Route 5,Demo User,Gaborone,12/11/2020,"25.877769, -24.616388","25.911755, -24.625643",5.27,17:12:35,0:11,75,0,5,7,15,0,Gaborone,GAB005,F,Gaborone Center,Mogoditshane Route 5,17:15:00,11,28.74545455,17,peak,B 546 BIW,Mini-bus
B132BLL,30620754,GAB005_R_Gaborone Center_Mogoditshane Route 5,Bob,Gaborone,12/11/2020,"25.893650, -24.628214","25.849718, -24.623247",8.3,16:54:07,0:33,50,-7,5,8,10,0,Gaborone,GAB005,R,Gaborone Center,Mogoditshane Route 5,17:00:00,33,15.09090909,16,peak,B 132 BLL,Mini-bus
B115BBH,30621950,GAB002_F_Gaborone Center_Block 10,Demo User,Gaborone,12/11/2020,"25.903446, -24.658695","25.902246, -24.658304",29.34,16:34:08,1:33,205,0,5,26,41,0,Gaborone,GAB002,F,Gaborone Center,Block 10,16:30:00,93,18.92903226,16,peak,B 115 BBH,Mini-bus
B115BBH,30623205,GAB002_F_Gaborone Center_Block 10,Demo User,Gaborone,12/11/2020,"25.902651, -24.658678","25.902216, -24.658251",29.29,13:21:45,1:42,200,0,5,29,40,0,Gaborone,GAB002,F,Gaborone Center,Block 10,13:15:00,102,17.22941176,13,off peak,B 115 BBH,Mini-bus
B858BGE,30623362,GAB001_F_Gaborone Center_Block 8 Route 1,Bob,Gaborone,12/11/2020,"25.845127, -24.648445","25.845127, -24.648445",0,21:09:17,0:00,95,-15,5,7,19,0,Gaborone,GAB001,F,Gaborone Center,Block 8 Route 1,21:15:00,0,0,21,peak,B 858 BGE,Mini-bus
B541BIL,30623747,GAB003_R_Gaborone Center_Thlowkeng Route 4,Bob,Gaborone,12/11/2020,"25.907949, -24.663441","25.982380, -24.654139",13.36,16:59:13,0:28,75,0,5,12,15,0,Gaborone,GAB003,R,Gaborone Center,Thlowkeng Route 4,17:00:00,28,28.62857143,16,peak,B 541 BIL,Mini-bus
B541BIL,30624060,GAB003_F_Gaborone Center_Thlowkeng Route 4,Bob,Gaborone,12/11/2020,"25.979345, -24.657335","25.904053, -24.663113",10.57,17:30:06,0:28,55,0,5,11,11,0.38,Gaborone,GAB003,F,Gaborone Center,Thlowkeng Route 4,17:30:00,28,22.65,17,peak,B 541 BIL,Mini-bus
